Name,Site type,Community,Location
"Tintern Abbey, Watergate",Gatehouse,Tintern,"51°41′53″N 2°40′41″W﻿ / ﻿51.6981°N 2.678°W, SO532001"
Medieval House Sites W of Trellech Church,Shrunken Medieval Village,Trellech United,"51°44′46″N 2°43′34″W﻿ / ﻿51.746°N 2.7261°W, SO499055"
"St Mary's Penallt, Churchyard Cross",Cross,Trellech United,"51°47′35″N 2°41′40″W﻿ / ﻿51.7931°N 2.6944°W, SO522107"
The Virtuous Well,Holy Well,Trellech United,"51°44′33″N 2°43′16″W﻿ / ﻿51.7424°N 2.7212°W, SO503051"
"St Nicholas' Trellech, Churchyard Cross",Cross,Trellech United,"51°44′44″N 2°43′30″W﻿ / ﻿51.7456°N 2.7249°W, SO500054"
Trellech Cross Preaching Cross,Cross,Trellech United,"51°43′59″N 2°43′35″W﻿ / ﻿51.733°N 2.7263°W, SO499040"
Trellech Shrunken Medieval Village,Shrunken Medieval Village,Trellech United,"51°44′32″N 2°43′23″W﻿ / ﻿51.7422°N 2.723°W, SO501050"
Tump Terrett Castle Mound,Motte,Trellech United,"51°44′41″N 2°43′33″W﻿ / ﻿51.7447°N 2.7257°W, SO499053"
Usk Castle (Unoccupied parts),Castle,Usk,"51°42′19″N 2°54′12″W﻿ / ﻿51.7052°N 2.9033°W, SO376011"
Usk Priory Gatehouse,Gatehouse,Usk,"51°42′09″N 2°54′03″W﻿ / ﻿51.7024°N 2.9009°W, SO378007"
Chepstow Town Slipway,Quay,Chepstow,"51°38′40″N 2°40′07″W﻿ / ﻿51.6445°N 2.6686°W, ST538941"
Hygga Farm Dovecote,Dovecote,Trellech United,"51°43′45″N 2°44′46″W﻿ / ﻿51.7292°N 2.7462°W, SO485036"
Disgwylfa Tramroads,Tramroad,Llanelly,"51°49′08″N 3°08′14″W﻿ / ﻿51.8189°N 3.1371°W, SO217139"
"Lower or Abbey Wireworks, Tintern",Iron forge,Tintern,"51°41′52″N 2°41′11″W﻿ / ﻿51.6977°N 2.6864°W, SO526001"
Tintern Upper Wireworks (New Tongs Mill),Leat,Tintern,"51°41′59″N 2°42′44″W﻿ / ﻿51.6997°N 2.7123°W, SO508003"
Whitebrook Wireworks Leat,Leat,Trellech United,"51°45′24″N 2°41′00″W﻿ / ﻿51.7567°N 2.6833°W, SO529066"
"Cewere Quarry and Limekiln, Llanvair-Discoed",Quarry,Caerwent,"51°37′44″N 2°47′15″W﻿ / ﻿51.629°N 2.7874°W, ST455925"
Limekiln and Quarries at Craig-yr-Hafod,Limekiln,Llanfoist Fawr,"51°47′14″N 3°03′21″W﻿ / ﻿51.7871°N 3.0558°W, SO272103"
Pwll Du Limestone Quarry & Water Balance Lift,Industrial monument,Llanfoist Fawr,"51°47′51″N 3°05′12″W﻿ / ﻿51.7974°N 3.0866°W, SO251115"
"Colwell Grove Limekiln and Quarry, Tintern",Limekiln,Tintern,"51°41′40″N 2°40′36″W﻿ / ﻿51.6945°N 2.6768°W, ST533997"
Clearwater Paper Mill,Mill,Trellech United,"51°45′27″N 2°40′49″W﻿ / ﻿51.7575°N 2.6804°W, SO531067"
Whitebrook Wireworks,Iron forge,Trellech United,"51°45′16″N 2°40′50″W﻿ / ﻿51.7545°N 2.6805°W, SO531064"
Tramway Embankment of Grosmont Railway,Tramway embankment,Llanvihangel Crucorney,"51°53′06″N 2°58′13″W﻿ / ﻿51.885°N 2.9704°W, SO333211"
Blorenge Quarries Tramroad,Tramroad,Llanfoist Fawr,"51°48′02″N 3°04′13″W﻿ / ﻿51.8006°N 3.0703°W, SO262118"
"Blorenge Tunnel, Hill's Tramroad",Tramroad,Llanfoist Fawr,"51°48′35″N 3°03′30″W﻿ / ﻿51.8098°N 3.0583°W, SO271128"
"Hill's Tramroad Inclines, Llanfoist",Tramroad,Llanfoist Fawr,"51°48′31″N 3°02′52″W﻿ / ﻿51.8085°N 3.0478°W, SO278127"
"Pen-ffordd-goch Iron and coal patching, Blaenavon",Industrial monument,Llanfoist Fawr,"51°47′18″N 3°04′38″W﻿ / ﻿51.7882°N 3.0773°W, SO257104"
Carreg Maen Taro Ironstone Quarries,Quarry,Llanfoist Fawr,"51°47′38″N 3°06′20″W﻿ / ﻿51.794°N 3.1056°W, SO238111"
Pwll Du Tramroad Tunnel Northern Entrances & Site of Lower Bank,Industrial monument,Llanfoist Fawr,"51°47′55″N 3°05′45″W﻿ / ﻿51.7987°N 3.0957°W, SO245116"
"Tramroad Bridge, Bailey's Tramroad, Govilon",Bridge,Llanfoist Fawr,"51°48′50″N 3°04′31″W﻿ / ﻿51.8138°N 3.0754°W, SO259133"
Perth-Hir House (Remains of),House (domestic),Llangattock-Vibon-Avel,"51°50′23″N 2°44′47″W﻿ / ﻿51.8396°N 2.7463°W, SO486159"
Blackcliff Wood Limekiln,Limekiln,Tintern,"51°40′49″N 2°40′37″W﻿ / ﻿51.6803°N 2.6769°W, ST532981"
Abbey Tintern Furnace,Industrial monument,Tintern,"51°41′57″N 2°42′18″W﻿ / ﻿51.6992°N 2.705°W, SO513002"
Coed-Ithel Iron Furnace,Kiln,Trellech United,"51°43′12″N 2°41′05″W﻿ / ﻿51.7199°N 2.6847°W, SO527025"
Woolpitch Wood Iron Furnace,Kiln,Trellech United,"51°44′25″N 2°44′21″W﻿ / ﻿51.7402°N 2.7392°W, SO490048"
Clydach Ironworks (remains) and Smart's Bridge,Industrial monument,Llanelly,"51°48′45″N 3°07′11″W﻿ / ﻿51.8126°N 3.1196°W, SO229132"
Gilwern Embankment,Industrial monument,Llanelly,"51°49′25″N 3°05′54″W﻿ / ﻿51.8237°N 3.0982°W, SO244144"
Iron Furnace SW of Clydach,Industrial monument,Llanelly,"51°49′04″N 3°06′53″W﻿ / ﻿51.8179°N 3.1148°W, SO232138"
Garnddyrys Ironworks (Site of) and adjacent Tramway,Industrial monument,Llanfoist Fawr,"51°48′00″N 3°04′39″W﻿ / ﻿51.7999°N 3.0774°W, SO258118"
The Graig Settlement,Settlement,Llanfoist Fawr,"51°50′27″N 3°04′51″W﻿ / ﻿51.8409°N 3.0808°W, SO256163"
Redbrook Incline Bridge,Bridge,Monmouth,"51°47′21″N 2°40′24″W﻿ / ﻿51.7892°N 2.6733°W, SO536102"
"Royal Navy Propellant Factory, Caerwent, Nitro-glycerine Hill",Industrial building,Caerwent,"51°37′22″N 2°44′55″W﻿ / ﻿51.6228°N 2.7487°W, ST482918"
"Royal Navy Propellant Factory, Caerwent Guided Weapons Scheme Static Firing Bay",Royal Naval Depot,Caerwent,"51°37′31″N 2°45′20″W﻿ / ﻿51.6253°N 2.7555°W, ST478921"
Dyne Steel Incline,Incline,Llanfoist Fawr,"51°47′36″N 3°06′06″W﻿ / ﻿51.7933°N 3.1017°W, SO241110"
"The Alcove, Piercefield",Folly,St Arvans,"51°38′59″N 2°40′52″W﻿ / ﻿51.6496°N 2.6811°W, ST529947"
"The Cold Bath, Piercefield",Bath-house,St Arvans,"51°40′05″N 2°41′18″W﻿ / ﻿51.6681°N 2.6884°W, ST524968"
"The Giant's Cave, Piercefield",Cave,St Arvans,"51°39′48″N 2°41′20″W﻿ / ﻿51.6633°N 2.6888°W, ST524962"
"The Grotto, Piercefield",Grotto,St Arvans,"51°39′30″N 2°40′36″W﻿ / ﻿51.6584°N 2.6766°W, ST532957"
"The Platform, Piercefield",Folly,St Arvans,"51°39′18″N 2°40′36″W﻿ / ﻿51.655°N 2.6767°W, ST532953"
Craig Ty-Isaf Camp,Hillfort,Baglan,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°37′31″N 3°47′52″W﻿ / ﻿51.6254°N 3.7979°W, SS756933"
Foel Chwern Round Cairn,Round cairn,Blaengwrach,"51°43′22″N 3°35′46″W﻿ / ﻿51.7228°N 3.5962°W, SN898038"
"Buarth-y-Gaer, Mynydd-y-Gaer",Hillfort,Briton Ferry,"51°37′39″N 3°47′06″W﻿ / ﻿51.6276°N 3.7849°W, SS765939"
"Carreg Hir Standing Stone, Pen-Rhiw-Tyn",Standing stone,Briton Ferry,"51°38′34″N 3°48′57″W﻿ / ﻿51.6428°N 3.8158°W, SS744953"
Gaer Fawr Camp,Hillfort,Briton Ferry,"51°37′59″N 3°47′06″W﻿ / ﻿51.6331°N 3.785°W, SS765942"
Burial Chamber at Pen-yr-Alltwen,Chambered tomb?,Cilybebyll,"51°42′51″N 3°50′15″W﻿ / ﻿51.7141°N 3.8375°W, SN731033"
Cefn Celfi Standing Stones,Standing stone,Cilybebyll,"51°42′45″N 3°49′21″W﻿ / ﻿51.7124°N 3.8226°W, SN741030"
Carn Caca Enclosure,Enclosure,Clyne and Melincourt,"51°41′13″N 3°40′53″W﻿ / ﻿51.6869°N 3.6814°W, SN838000"
Pen-Rhiw-Angharad Round Cairns,Cairnfield,Clyne and Melincourt,"51°40′41″N 3°44′12″W﻿ / ﻿51.678°N 3.7368°W, SS800991"
Carn Caca Cairnfield,Kerb cairn,Clyne and Melincourt,"51°41′36″N 3°42′19″W﻿ / ﻿51.6933°N 3.7053°W, SN822007"
Gelli-Bwch Round Cairn,Round cairn,Coedffranc,"51°38′13″N 3°51′02″W﻿ / ﻿51.637°N 3.8505°W, SS720947"
Llandarcy Round Cairn,Round cairn,Coedffranc,"51°38′34″N 3°51′13″W﻿ / ﻿51.6427°N 3.8535°W, SS718953"
Mynydd Marchywel summit cairn,Round cairn,Crynant,"51°43′09″N 3°47′05″W﻿ / ﻿51.7191°N 3.7848°W, SN768037"
Coed Ddu ring cairn,Ring cairn,Crynant,"51°44′33″N 3°43′44″W﻿ / ﻿51.7425°N 3.7288°W, SN807062"
Mynydd Marchywel Round Cairn,Round cairn,Crynant,"51°43′43″N 3°46′38″W﻿ / ﻿51.7286°N 3.7771°W, SN773048"
Pen-y-Castell,Hillfort,Cwmavon,"51°36′41″N 3°45′03″W﻿ / ﻿51.6115°N 3.7509°W, SS788917"
Carreg Bica Standing Stone,Standing stone,Dyffryn Clydach,"51°40′46″N 3°50′45″W﻿ / ﻿51.6794°N 3.8457°W, SS724994"
Three Round Cairns on Mynydd Drumau,Round cairn,Dyffryn Clydach,"51°40′47″N 3°50′43″W﻿ / ﻿51.6796°N 3.8454°W, SS725994"
Mynydd Drumau Round Cairn with Cist,Round cairn,Dyffryn Clydach,"51°41′15″N 3°50′47″W﻿ / ﻿51.6876°N 3.8465°W, SN724003"
Bachgen Carreg Round Cairn,Round cairn,Glyncorrwg,"51°40′16″N 3°34′49″W﻿ / ﻿51.671°N 3.5804°W, SS908981"
Bryn Llydan Round Barrow,Round barrow,Glyncorrwg,"51°41′29″N 3°38′12″W﻿ / ﻿51.6915°N 3.6367°W, SN869004"
Carn Caglau cairn,Round cairn,Glyncorrwg,"51°41′28″N 3°38′59″W﻿ / ﻿51.691°N 3.6497°W, SN860004"
Cefn yr Argoed Camp,Enclosure,Glyncorrwg,"51°37′59″N 3°41′19″W﻿ / ﻿51.6331°N 3.6887°W, SS832940"
Crug yr Afan Round Cairn,Round cairn,Glyncorrwg,"51°38′51″N 3°33′42″W﻿ / ﻿51.6474°N 3.5618°W, SS920954"
Nant Herbert Camp,Enclosure,Glyncorrwg,"51°37′58″N 3°42′23″W﻿ / ﻿51.6327°N 3.7064°W, SS819940"
Pebyll Ring Cairn,Ring cairn,Glyncorrwg,"51°39′48″N 3°34′35″W﻿ / ﻿51.6634°N 3.5764°W, SS910972"
Tonmawr Camp,Enclosure,Margam,"51°33′45″N 3°41′18″W﻿ / ﻿51.5625°N 3.6882°W, SS830861"
Caer Cwmphilip,Enclosure,Margam,"51°34′10″N 3°41′46″W﻿ / ﻿51.5695°N 3.6962°W, SS825870"
Danish Camp,Enclosure,Margam,"51°34′12″N 3°42′10″W﻿ / ﻿51.5701°N 3.7027°W, SS820870"
Ergyd Uchaf Round Barrow,Round cairn,Margam,"51°35′10″N 3°43′29″W﻿ / ﻿51.586°N 3.7246°W, SS806888"
Half Moon Camp,Enclosure,Margam,"51°34′00″N 3°44′00″W﻿ / ﻿51.5666°N 3.7332°W, SS799867"
Mynydd y Castell Camp,Hillfort,Margam,"51°33′55″N 3°43′25″W﻿ / ﻿51.5653°N 3.7237°W, SS806865"
Caer Blaen-y-Cwm,Enclosure,Margam,"51°34′44″N 3°41′06″W﻿ / ﻿51.579°N 3.6851°W, SS833880"
Site of Bodvoc Stone,Ring cairn,Margam,"51°35′09″N 3°41′21″W﻿ / ﻿51.5858°N 3.6891°W, SS830887"
Twmpath Diwlith Round Barrow,Round barrow,Margam,"51°35′09″N 3°41′13″W﻿ / ﻿51.5858°N 3.687°W, SS832887"
Ty'n-y-Cellar Standing Stone,Standing stone,Margam,"51°32′23″N 3°43′42″W﻿ / ﻿51.5398°N 3.7282°W, SS802837"
Cefn Mawr cairn,Round cairn,Pelenna,"51°40′27″N 3°40′41″W﻿ / ﻿51.6741°N 3.6781°W, SS840985"
Foel Fynyddau Round Cairn,Round cairn,Pelenna and Cwmafan,"51°37′41″N 3°45′36″W﻿ / ﻿51.628°N 3.7599°W, SS782935"
Burial Chamber near Carn Llechart,Chambered tomb,Pontardawe,"51°44′24″N 3°53′20″W﻿ / ﻿51.7399°N 3.889°W, SN696062"
Carn Llechart Stone Circle,Ring cairn,Pontardawe,"51°44′24″N 3°53′17″W﻿ / ﻿51.74°N 3.888°W, SN697062"
Mynydd y Garth Cairn,Round cairn,Pontardawe,"51°45′10″N 3°52′12″W﻿ / ﻿51.7529°N 3.8701°W, SN710076"
Carn Cornel Round Cairn,Round cairn,Seven Sisters,"51°44′34″N 3°42′55″W﻿ / ﻿51.7428°N 3.7152°W, SN816062"
Ergyd Isaf Round Barrows,Round cairn,Tai-Bach,"51°35′02″N 3°44′29″W﻿ / ﻿51.5838°N 3.7414°W, SS794886"
Blaen-Cwmbach Earthwork,Enclosure,Tonna,"51°40′30″N 3°44′47″W﻿ / ﻿51.675°N 3.7463°W, SS793988"
"Nidum Roman fort, Neath",Roman Fort,Blaenhonddan,"51°39′53″N 3°48′47″W﻿ / ﻿51.6647°N 3.8131°W, SS747977"
Melin Court Roman Marching Camp,Roman marching camp,Clyne and Melincourt,"51°41′14″N 3°41′02″W﻿ / ﻿51.6871°N 3.684°W, SN836000"
Coelbren Roman Fort,Roman fort,Onllwyn,"51°47′01″N 3°39′17″W﻿ / ﻿51.7835°N 3.6548°W, SN859107"
Coelbren Roman Marching Camp,Roman marching camp,Onllwyn,"51°46′47″N 3°39′03″W﻿ / ﻿51.7796°N 3.6508°W, SN862102"
Hirfynydd fortlet,Roman signal station,Seven Sisters,"51°44′48″N 3°41′52″W﻿ / ﻿51.7466°N 3.6979°W, SN828066"
Blaen Cwm Bach Camp,Marching camp,Tonna,"51°40′30″N 3°44′22″W﻿ / ﻿51.6751°N 3.7394°W, SS798988"
Court Herbert Cross & Grave Slab,Cross,Dyffryn Clydach,"51°39′48″N 3°49′19″W﻿ / ﻿51.6633°N 3.8219°W, SS740976"
"Clawdd Mawr, Mynydd Caerau",Linear earthwork,Glyncorrwg,"51°38′28″N 3°35′54″W﻿ / ﻿51.641°N 3.5983°W, SS894947"
Margam Inscribed & Sculptured Stones [56],Cross,Margam,"51°33′49″N 3°43′52″W﻿ / ﻿51.5637°N 3.7312°W, SS801864"
Sculptured Cross Llanmihangel Farm,Cross,Margam,"51°31′55″N 3°42′30″W﻿ / ﻿51.532°N 3.7082°W, SS816828"
Cefn Morfydd Dyke & Earthwork,Linear earthwork,Tonna,"51°40′05″N 3°45′12″W﻿ / ﻿51.668°N 3.7533°W, SS788980"
Plas Baglan,Castle,Baglan,"51°36′57″N 3°47′52″W﻿ / ﻿51.6157°N 3.7979°W, SS756922"
St Baglan's Church,Church,Baglan,"51°36′56″N 3°48′06″W﻿ / ﻿51.6156°N 3.8016°W, SS753922"
St Margaret's Chapel,Church,Coedffranc,"51°37′47″N 3°52′20″W﻿ / ﻿51.6297°N 3.8723°W, SS705939"
Hirfynydd house platforms.,House platform,Crynant,"51°44′35″N 3°43′50″W﻿ / ﻿51.743°N 3.7306°W, SN806063"
Tirlan medieval house sites,Platform house,Crynant,"51°42′32″N 3°47′32″W﻿ / ﻿51.709°N 3.7922°W, SN762026"
Castell Bowlan,Motte,Cwmavon,"51°36′49″N 3°46′52″W﻿ / ﻿51.6135°N 3.781°W, SS767920"
Mynydd Drumau settlement platforms,House platform,Dyffryn Clydach,"51°41′13″N 3°50′30″W﻿ / ﻿51.687°N 3.8417°W, SN727002"
Neath Abbey and Gatehouse [67],Abbey,Dyffryn Clydach,"51°39′40″N 3°49′34″W﻿ / ﻿51.6612°N 3.826°W, SS738974"
Hen Eglwys,Chapel,Margam,"51°33′53″N 3°43′51″W﻿ / ﻿51.5648°N 3.7308°W, SS801865"
Margam Abbey,Abbey,Margam,"51°33′44″N 3°43′47″W﻿ / ﻿51.5623°N 3.7298°W, SS801862"
Margam Medieval Bath House,Bath-house,Margam,"51°34′06″N 3°43′42″W﻿ / ﻿51.5684°N 3.7284°W, SS803869"
Neath Castle,Castle,Neath,"51°39′54″N 3°48′13″W﻿ / ﻿51.6651°N 3.8035°W, SS753977"
Foel Fynyddau Deserted Rural Settlement,House platform,Pelenna,"51°38′06″N 3°45′34″W﻿ / ﻿51.6351°N 3.7595°W, SS783943"
Remains of Venallt Ironworks,Ironworks,Blaengwrach,"51°43′55″N 3°38′45″W﻿ / ﻿51.7319°N 3.6459°W, SN864049"
Aberdulais Aqueduct,Aqueduct,Blaenhonddan,"51°40′44″N 3°46′34″W﻿ / ﻿51.679°N 3.7762°W, SS772992"
Tinplate works at Aberdulais Falls NT,Tinplate Works,Blaenhonddan,"51°40′51″N 3°46′40″W﻿ / ﻿51.6807°N 3.7779°W, SS771994"
Ynysmaerdy Railway Incline,Railway,Briton Ferry,"51°38′24″N 3°48′22″W﻿ / ﻿51.6401°N 3.8061°W, SS751950"
Waun y Coed Colliery Branch Canal and Tramroad Incline,Industrial monument,Cilybebyll,"51°43′43″N 3°49′45″W﻿ / ﻿51.7285°N 3.8292°W, SN737048"
Tennant Canal: Skewen Cutting and tramroad bridge,Canal,Coedffranc,"51°39′30″N 3°50′05″W﻿ / ﻿51.6583°N 3.8346°W, SS731970"
Cwmafan copper works flue,Chimney,Cwmavon,"51°37′31″N 3°45′33″W﻿ / ﻿51.6254°N 3.7592°W, SS783933"
Neath Abbey Ironworks,Industrial monument,Dyffryn Clydach,"51°39′52″N 3°49′36″W﻿ / ﻿51.6644°N 3.8268°W, SS737977"
Neath Abbey Ironworks Dam,Dam,Dyffryn Clydach,"51°40′25″N 3°49′29″W﻿ / ﻿51.6735°N 3.8248°W, SS739987"
Ynys Fawr Corn-Drying Kiln,Corn-drying kiln,Glyncorrwg,"51°38′25″N 3°43′19″W﻿ / ﻿51.6403°N 3.722°W, SS809948"
Leat & Dam at Llanmihangel Mill,Leat,Margam,"51°31′42″N 3°42′04″W﻿ / ﻿51.5282°N 3.7012°W, SS820824"
Remains of Blast Furnaces at Banwen,Blast Furnace,Onllwyn,"51°46′52″N 3°38′33″W﻿ / ﻿51.7811°N 3.6425°W, SN867104"
Cwm Pelenna Colliery Ventilation Furnace,Industrial monument,Pelenna,"51°39′40″N 3°42′43″W﻿ / ﻿51.6612°N 3.7119°W, SS816972"
Pontrhydyfen Aqueduct / Viaduct,Aqueduct,Pelenna,"51°37′59″N 3°44′29″W﻿ / ﻿51.633°N 3.7415°W, SS795941"
Melin Court Blast Furnace,Blast Furnace,Resolven,"51°42′10″N 3°42′08″W﻿ / ﻿51.7027°N 3.7022°W, SN824018"
Claypon's Tramroad at Ystradgynlais,Tramroad,Seven Sisters,"51°46′24″N 3°43′18″W﻿ / ﻿51.7734°N 3.7218°W, SN812097"
Parsons' Folly (Glyncorrwg Mineral Railway),Railway,Tonna,"51°40′09″N 3°45′05″W﻿ / ﻿51.6691°N 3.7514°W, SS789981"
Remains of Lock and Dry Dock at Pantyffynnon,Lock,Ystalyfera,"51°45′05″N 3°48′01″W﻿ / ﻿51.7513°N 3.8003°W, SN758073"
Briton Ferry Dock Entrance,Dockyard,Briton Ferry,"51°37′37″N 3°49′37″W﻿ / ﻿51.627°N 3.8269°W, SS736936"
Cae'r Mynydd Ventilation Furnace and Mine,Colliery,Bryn,"51°37′13″N 3°41′40″W﻿ / ﻿51.6204°N 3.6944°W, SS827926"
Canal Boat at Aberdulais Basin,Canal Boat,Tonna,"51°40′46″N 3°46′31″W﻿ / ﻿51.6794°N 3.7752°W, SS773993"
"River Twrch Aqueduct, Ystalyfera",Aqueduct,Ystalyfera,"51°46′06″N 3°46′48″W﻿ / ﻿51.7684°N 3.7799°W, SN772092"
Crimea Colliery & Canal Quay,Coal mine,Ystalyfera,"51°45′01″N 3°48′07″W﻿ / ﻿51.7504°N 3.8019°W, SN757072"
Cilybebyll Auxiliary Unit Operational Base,Observation Post,Cilybebyll,"51°43′23″N 3°48′36″W﻿ / ﻿51.723°N 3.8101°W, SN750042"
Pentreclwydau Colliery,Coal mine,Glynneath,"51°43′59″N 3°40′08″W﻿ / ﻿51.733°N 3.669°W, SN848051"
"Chain Home Low Radar Station, Margam",Radar station,Margam,"51°34′11″N 3°44′34″W﻿ / ﻿51.5698°N 3.7428°W, SS793871"
Gwern y Cleppa Burial Chamber,Chambered long barrow,Coedkernew,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}51°33′35″N 3°02′43″W﻿ / ﻿51.5597°N 3.0452°W, ST276850"
Twyn Pant-Teg Round Barrow,Round barrow,Graig,"51°35′36″N 3°05′55″W﻿ / ﻿51.5934°N 3.0987°W, ST239888"
Round Barrow 57m South of Stock Wood,Round barrow,Langstone,"51°35′52″N 2°53′37″W﻿ / ﻿51.5979°N 2.8937°W, ST381891"
Druidstone Standing Stone,Standing stone,Michaelstone-y-Fedw,"51°32′40″N 3°05′43″W﻿ / ﻿51.5445°N 3.0953°W, ST241834"
Wilcrick Hill Camp,Hillfort,Bishton,"51°35′09″N 2°51′04″W﻿ / ﻿51.5859°N 2.8512°W, ST411877"
Lodge Wood Camp,Hillfort,Caerleon,"51°37′01″N 2°58′44″W﻿ / ﻿51.617°N 2.9788°W, ST323913"
Priory Wood Camp,Enclosure,Caerleon,"51°36′33″N 2°55′28″W﻿ / ﻿51.6091°N 2.9244°W, ST360904"
St Julian's Wood Camp,Hillfort,Caerleon,"51°35′49″N 2°57′15″W﻿ / ﻿51.5969°N 2.9541°W, ST340891"
Coed y Defaid Camp,Hillfort,Coedkernew,"51°34′12″N 3°03′00″W﻿ / ﻿51.5701°N 3.0499°W, ST273862"
Tredegar Fort,Hillfort,Gaer,"51°34′32″N 3°01′39″W﻿ / ﻿51.5756°N 3.0274°W, ST289868"
Pen-y-Lan Camp,Enclosure,Michaelstone-y-Fedw,"51°33′28″N 3°04′16″W﻿ / ﻿51.5579°N 3.071°W, ST258848"
Castell Prin,Hillfort,Penhow,"51°37′38″N 2°51′14″W﻿ / ﻿51.6272°N 2.8539°W, ST409923"
Abernant Roman Kiln,Kiln,Caerleon,"51°37′04″N 2°54′51″W﻿ / ﻿51.6178°N 2.9142°W, ST368913"
Caerleon Amphitheatre,Amphitheatre,Caerleon,"51°36′29″N 2°57′25″W﻿ / ﻿51.6081°N 2.9569°W, ST338903"
Caerleon Civil Settlement,Civil settlement,Caerleon,"51°36′42″N 2°57′45″W﻿ / ﻿51.6118°N 2.9626°W, ST334907"
Caerleon Civil Settlement: Area under Broadway Playing Fields,Civil settlement,Caerleon,"51°36′32″N 2°57′36″W﻿ / ﻿51.6088°N 2.96°W, ST336904"
Caerleon Civil Settlement: Site of Roman Building SE of Castle Street,Civil settlement,Caerleon,"51°36′32″N 2°56′56″W﻿ / ﻿51.609°N 2.9488°W, ST344904"
Caerleon Roman Fortress and Baths,Legionary fortress,Caerleon,"51°36′37″N 2°57′32″W﻿ / ﻿51.6103°N 2.9588°W, ST337906"
Caerleon Legionary Fortress: Area behind Caerleon House,Legionary fortress,Caerleon,"51°36′32″N 2°57′11″W﻿ / ﻿51.609°N 2.9531°W, ST340904"
Caerleon Legionary Fortress: Area between Priory Hotel and Priory Lodge,Legionary fortress,Caerleon,"51°36′34″N 2°57′18″W﻿ / ﻿51.6095°N 2.955°W, ST339905"
Caerleon Legionary Fortress: Area of Myrtle Cottage Barracks,Legionary fortress,Caerleon,"51°36′37″N 2°57′09″W﻿ / ﻿51.6104°N 2.9525°W, ST341906"
Caerleon Legionary Fortress: Area off White Hart Lane,Legionary fortress,Caerleon,"51°36′32″N 2°57′13″W﻿ / ﻿51.609°N 2.9536°W, ST340904"
Caerleon Legionary Fortress: Back Garden of No 4 Museum Street,Legionary fortress,Caerleon,"51°36′37″N 2°57′16″W﻿ / ﻿51.6104°N 2.9545°W, ST339906"
"Caerleon Legionary Fortress: Car Park and Garden of Endowed School, North of Broadway",Fort,Caerleon,"51°36′36″N 2°57′23″W﻿ / ﻿51.6099°N 2.9565°W, ST338906"
Caerleon Legionary Fortress: Field SE of Broadway,Legionary fortress,Caerleon,"51°36′33″N 2°57′24″W﻿ / ﻿51.6092°N 2.9566°W, ST338904"
Caerleon Legionary Fortress: Former Ambulance Station Field,Legionary fortress,Caerleon,"51°36′46″N 2°57′08″W﻿ / ﻿51.6128°N 2.9523°W, ST341908"
Caerleon Legionary Fortress: Former Garden of The Firs,Legionary fortress,Caerleon,"51°36′35″N 2°57′12″W﻿ / ﻿51.6097°N 2.9532°W, ST340905"
Caerleon Legionary Fortress: Goldcroft Common,Legionary fortress,Caerleon,"51°36′44″N 2°57′27″W﻿ / ﻿51.6121°N 2.9574°W, ST338908"
